bitrate_kbps_segment_size,bitrate_kbps_target,coding_height,coding_res,coding_width,display_height,display_res,display_width,dts,framerate,gop_length,i_sizes_average,iframe_ratio,noni_sizes_average,sample_index,pvs_id
144.311912171,150,240,102240,426,1080,2073600,1920,19.958333,24,1,4531,7.71890971039,587,19,TR04_SRC004_HRC02
140.580875353,150,240,102240,426,1080,2073600,1920,20.958333,24,1,4514,7.96119929453,567,20,TR04_SRC004_HRC02
136.43984965800001,150,240,102240,426,1080,2073600,1920,21.958333,24,1,4529,8.32536764706,544,21,TR04_SRC004_HRC02
133.66959731,150,240,102240,426,1080,2073600,1920,22.958333,24,1,4531,8.5652173913,529,22,TR04_SRC004_HRC02
131.397264611,150,240,102240,426,1080,2073600,1920,23.958333,24,1,4509,8.70463320463,518,23,TR04_SRC004_HRC02
126.438403942,150,240,102240,426,1080,2073600,1920,24.958333,24,1,4458,8.89820359281,501,24,TR04_SRC004_HRC02
117.896276036,150,240,102240,426,1080,2073600,1920,25.958333,24,1,4396,9.61925601751,457,25,TR04_SRC004_HRC02
111.932699528,150,240,102240,426,1080,2073600,1920,26.958333,24,1,4313,10.0771028037,428,26,TR04_SRC004_HRC02
108.446263954,150,240,102240,426,1080,2073600,1920,27.958333,24,1,4210,10.1690821256,414,27,TR04_SRC004_HRC02
108.750495341,150,240,102240,426,1080,2073600,1920,28.958333,24,1,4111,9.81145584726,419,28,TR04_SRC004_HRC02
106.294999327,150,240,102240,426,1080,2073600,1920,29.958333,24,1,4116,10.1379310345,406,29,TR04_SRC004_HRC02
102.701541644,150,240,102240,426,1080,2073600,1920,30.958333,24,1,4148,10.774025974,385,30,TR04_SRC004_HRC02
103.299983621,150,240,102240,426,1080,2073600,1920,31.958333,24,1,3990,10.1012658228,395,31,TR04_SRC004_HRC02
102.716773255,150,240,102240,426,1080,2073600,1920,32.958333,24,1,3891,9.82575757576,396,32,TR04_SRC004_HRC02
99.2748300185,150,240,102240,426,1080,2073600,1920,33.958333,24,1,3770,9.86910994764,382,33,TR04_SRC004_HRC02
98.0358587194,150,240,102240,426,1080,2073600,1920,34.958333,24,1,3616,9.46596858639,382,34,TR04_SRC004_HRC02
97.6266093838,150,240,102240,426,1080,2073600,1920,35.958333,24,1,3460,8.96373056995,386,35,TR04_SRC004_HRC02
95.7094305667,150,240,102240,426,1080,2073600,1920,36.958333,24,1,3405,9.00793650794,378,36,TR04_SRC004_HRC02
92.8029987034,150,240,102240,426,1080,2073600,1920,37.958333,24,1,3385,9.3250688705200009,363,37,TR04_SRC004_HRC02
95.1342368384,150,240,102240,426,1080,2073600,1920,38.958333,24,1,3464,9.31182795699,372,38,TR04_SRC004_HRC02
95.4316540833,150,240,102240,426,1080,2073600,1920,39.958333,24,1,3520,9.4623655914,372,39,TR04_SRC004_HRC02
99.0976623335,150,240,102240,426,1080,2073600,1920,40.958333,24,1,3559,9.12564102564,390,40,TR04_SRC004_HRC02
99.3477814182,150,240,102240,426,1080,2073600,1920,41.958333,24,1,3495,8.87055837563,394,41,TR04_SRC004_HRC02
98.1007934818,150,240,102240,426,1080,2073600,1920,42.958333,24,1,3462,8.89974293059,389,42,TR04_SRC004_HRC02
97.3580520333,150,240,102240,426,1080,2073600,1920,43.958333,24,1,3372,8.69072164948,388,43,TR04_SRC004_HRC02
97.6362293486,150,240,102240,426,1080,2073600,1920,44.958333,24,1,3329,8.49234693878,392,44,TR04_SRC004_HRC02
98.721281211,150,240,102240,426,1080,2073600,1920,45.958333,24,1,3316,8.33165829146,398,45,TR04_SRC004_HRC02
99.501300023,150,240,102240,426,1080,2073600,1920,46.958333,24,1,3335,8.31670822943,401,46,TR04_SRC004_HRC02
97.841856096,150,240,102240,426,1080,2073600,1920,47.958333,24,1,3443,8.87371134021,388,47,TR04_SRC004_HRC02
93.2559387124,150,240,102240,426,1080,2073600,1920,48.958333,24,1,3455,9.51790633609,363,48,TR04_SRC004_HRC02
91.6105239008,150,240,102240,426,1080,2073600,1920,49.958333,24,1,3375,9.45378151261,357,49,TR04_SRC004_HRC02
93.9765113458,150,240,102240,426,1080,2073600,1920,50.958333,24,1,3375,9.29752066116,363,50,TR04_SRC004_HRC02
93.7610276896,150,240,102240,426,1080,2073600,1920,51.958333,24,1,3474,9.70391061453,358,51,TR04_SRC004_HRC02
95.7592339261,150,240,102240,426,1080,2073600,1920,52.958333,24,1,3571,9.78356164384,365,52,TR04_SRC004_HRC02
98.0997152023,150,240,102240,426,1080,2073600,1920,53.958333,24,1,3691,9.92204301075,372,53,TR04_SRC004_HRC02
99.5970698901,150,240,102240,426,1080,2073600,1920,54.958333,24,1,3803,10.1413333333,375,54,TR04_SRC004_HRC02
100.190055622,150,240,102240,426,1080,2073600,1920,55.958333,24,1,3924,10.5201072386,373,55,TR04_SRC004_HRC02
100.980730616,150,240,102240,426,1080,2073600,1920,56.958333,24,1,3980,10.6133333333,375,56,TR04_SRC004_HRC02
100.909192726,150,240,102240,426,1080,2073600,1920,57.958333,24,1,3917,10.3624338624,378,57,TR04_SRC004_HRC02
95.6545074912,150,240,102240,426,1080,2073600,1920,58.958333,24,1,3850,10.9375,352,58,TR04_SRC004_HRC02
90.9424724602,150,240,102240,426,1080,2073600,1920,59.958333,24,1,3703,11.1201201201,333,59,TR04_SRC004_HRC02
11857.9582272,10000,1080,2073600,1920,1080,2073600,1920,0.958333,24,1,270919,5.14409676072,52666,0,TR04_SRC002_HRC01
11821.7860924,10000,1080,2073600,1920,1080,2073600,1920,1.958333,24,1,273423,5.22188269896,52361,1,TR04_SRC002_HRC01
11776.5205571,10000,1080,2073600,1920,1080,2073600,1920,2.958333,24,1,275883,5.30462621135,52008,2,TR04_SRC002_HRC01
11696.487571,10000,1080,2073600,1920,1080,2073600,1920,3.958333,24,1,278430,5.41039990673,51462,3,TR04_SRC002_HRC01
11606.9284779,10000,1080,2073600,1920,1080,2073600,1920,4.958333,24,1,280280,5.50702426564,50895,4,TR04_SRC002_HRC01
11566.373469,10000,1080,2073600,1920,1080,2073600,1920,5.958333,24,1,281619,5.56383357041,50616,5,TR04_SRC002_HRC01
11521.1647719,10000,1080,2073600,1920,1080,2073600,1920,6.958333,24,1,283510,5.63772669424,50288,6,TR04_SRC002_HRC01
11432.6494277,10000,1080,2073600,1920,1080,2073600,1920,7.958333,24,1,284246,5.71061778001,49775,7,TR04_SRC002_HRC01
11376.4542515,10000,1080,2073600,1920,1080,2073600,1920,8.958333,24,1,282520,5.70229084671,49545,8,TR04_SRC002_HRC01
11203.0614736,10000,1080,2073600,1920,1080,2073600,1920,9.958333,24,1,279315,5.67459672504,49222,9,TR04_SRC002_HRC01
11254.4044282,10000,1080,2073600,1920,1080,2073600,1920,10.958333,24,1,275312,5.54326903717,49666,10,TR04_SRC002_HRC01
11200.190315,10000,1080,2073600,1920,1080,2073600,1920,11.958333,24,1,272063,5.49555609421,49506,11,TR04_SRC002_HRC01
10640.7657131,10000,1080,2073600,1920,1080,2073600,1920,12.958333,24,1,264587,5.6558645604,46781,12,TR04_SRC002_HRC01
10415.2128119,10000,1080,2073600,1920,1080,2073600,1920,13.958333,24,1,259428,5.66795569247,45771,13,TR04_SRC002_HRC01
10125.3580619,10000,1080,2073600,1920,1080,2073600,1920,14.958333,24,1,254703,5.73732936883,44394,14,TR04_SRC002_HRC01
9923.78572871,10000,1080,2073600,1920,1080,2073600,1920,15.958333,24,1,250455,5.76076455976,43476,15,TR04_SRC002_HRC01
9889.66651941,10000,1080,2073600,1920,1080,2073600,1920,16.958333,24,1,254027,5.88788707584,43144,16,TR04_SRC002_HRC01
9900.68899491,10000,1080,2073600,1920,1080,2073600,1920,17.958333,24,1,256662,5.95572572224,43095,17,TR04_SRC002_HRC01
9840.66322041,10000,1080,2073600,1920,1080,2073600,1920,18.958333,24,1,257971,6.03935385696,42715,18,TR04_SRC002_HRC01
9714.83167592,10000,1080,2073600,1920,1080,2073600,1920,19.958333,24,1,257351,6.11895477674,42058,19,TR04_SRC002_HRC01
9528.83166079,10000,1080,2073600,1920,1080,2073600,1920,20.958333,24,1,254712,6.18863890374,41158,20,TR04_SRC002_HRC01
9432.0540133,10000,1080,2073600,1920,1080,2073600,1920,21.958333,24,1,252539,6.20138496673,40723,21,TR04_SRC002_HRC01
9335.49481917,10000,1080,2073600,1920,1080,2073600,1920,22.958333,24,1,251016,6.23440876239,40263,22,TR04_SRC002_HRC01
9305.4588841,10000,1080,2073600,1920,1080,2073600,1920,23.958333,24,1,249387,6.20875345433,40167,23,TR04_SRC002_HRC01
9295.96357801,10000,1080,2073600,1920,1080,2073600,1920,24.958333,24,1,249177,6.21017346227,40124,24,TR04_SRC002_HRC01
9211.95603295,10000,1080,2073600,1920,1080,2073600,1920,25.958333,24,1,248888,6.27237903226,39680,25,TR04_SRC002_HRC01
9210.16832283,10000,1080,2073600,1920,1080,2073600,1920,26.958333,24,1,250463,6.32386507095,39606,26,TR04_SRC002_HRC01
