pvs_id,sample_index,O21
TR04_SRC103_HRC80,37,4.531
TR04_SRC103_HRC80,38,4.531
TR04_SRC103_HRC80,39,4.531
TR04_SRC103_HRC80,4,4.531
TR04_SRC103_HRC80,40,4.531
TR04_SRC103_HRC80,41,4.531
TR04_SRC103_HRC80,42,4.531
TR04_SRC103_HRC80,43,4.531
TR04_SRC103_HRC80,44,4.531
TR04_SRC103_HRC80,45,4.531
TR04_SRC103_HRC80,46,4.531
TR04_SRC103_HRC80,47,4.531
TR04_SRC103_HRC80,48,4.531
TR04_SRC103_HRC80,49,4.531
TR04_SRC103_HRC80,5,4.531
TR04_SRC103_HRC80,50,4.531
TR04_SRC103_HRC80,51,4.531
TR04_SRC103_HRC80,52,4.531
TR04_SRC103_HRC80,53,4.531
TR04_SRC103_HRC80,54,4.531
TR04_SRC103_HRC80,55,4.531
TR04_SRC103_HRC80,56,4.531
TR04_SRC103_HRC80,57,4.531
TR04_SRC103_HRC80,58,4.531
TR04_SRC103_HRC80,59,4.531
TR04_SRC103_HRC80,6,4.531
TR04_SRC103_HRC80,60,4.531
TR04_SRC103_HRC80,61,4.531
TR04_SRC103_HRC80,62,4.531
TR04_SRC103_HRC80,63,4.531
TR04_SRC103_HRC80,7,4.531
TR04_SRC103_HRC80,8,4.531
TR04_SRC103_HRC80,9,4.531
TR04_SRC104_HRC88,0,4.554
TR04_SRC104_HRC88,1,4.554
TR04_SRC104_HRC88,10,4.554
TR04_SRC104_HRC88,11,4.554
TR04_SRC104_HRC88,12,4.554
TR04_SRC104_HRC88,13,4.554
TR04_SRC104_HRC88,14,4.554
TR04_SRC104_HRC88,15,4.554
TR04_SRC104_HRC88,16,4.554
TR04_SRC104_HRC88,17,4.554
TR04_SRC104_HRC88,18,4.554
TR04_SRC104_HRC88,19,4.554
TR04_SRC104_HRC88,2,4.554
TR04_SRC104_HRC88,20,4.554
TR04_SRC104_HRC88,21,4.554
TR04_SRC104_HRC88,22,4.554
TR04_SRC104_HRC88,23,4.554
TR04_SRC104_HRC88,24,4.554
TR04_SRC104_HRC88,25,4.554
TR04_SRC104_HRC88,26,4.554
TR04_SRC104_HRC88,27,4.554
TR04_SRC104_HRC88,28,4.554
TR04_SRC104_HRC88,29,4.554
TR04_SRC104_HRC88,3,4.554
TR04_SRC104_HRC88,30,4.554
TR04_SRC104_HRC88,31,4.554
TR04_SRC104_HRC88,32,4.554
TR04_SRC104_HRC88,33,4.554
TR04_SRC104_HRC88,34,4.554
TR04_SRC104_HRC88,35,4.554
TR04_SRC104_HRC88,36,4.554
TR04_SRC104_HRC88,37,4.554
TR04_SRC104_HRC88,38,4.554
TR04_SRC104_HRC88,39,4.554
TR04_SRC104_HRC88,4,4.554
TR04_SRC104_HRC88,40,4.554
TR04_SRC104_HRC88,41,4.554
TR04_SRC104_HRC88,42,4.554
TR04_SRC104_HRC88,43,4.554
TR04_SRC104_HRC88,44,4.554
TR04_SRC104_HRC88,45,4.554
TR04_SRC104_HRC88,46,4.554
TR04_SRC104_HRC88,47,4.554
TR04_SRC104_HRC88,48,4.554
TR04_SRC104_HRC88,49,4.554
TR04_SRC104_HRC88,5,4.554
TR04_SRC104_HRC88,50,4.554
TR04_SRC104_HRC88,51,4.554
TR04_SRC104_HRC88,52,4.554
TR04_SRC104_HRC88,53,4.554
TR04_SRC104_HRC88,54,4.554
TR04_SRC104_HRC88,55,4.554
TR04_SRC104_HRC88,56,4.554
TR04_SRC104_HRC88,57,4.554
TR04_SRC104_HRC88,58,4.554
TR04_SRC104_HRC88,6,4.554
TR04_SRC104_HRC88,7,4.554
TR04_SRC104_HRC88,8,4.554
TR04_SRC104_HRC88,9,4.554
TR04_SRC108_HRC92,0,4.554
TR04_SRC108_HRC92,1,4.554
TR04_SRC108_HRC92,10,4.554
TR04_SRC108_HRC92,11,4.554
TR04_SRC108_HRC92,12,4.554
TR04_SRC108_HRC92,13,4.554
TR04_SRC108_HRC92,14,4.554
TR04_SRC108_HRC92,15,4.554
TR04_SRC108_HRC92,16,4.554
TR04_SRC108_HRC92,17,4.554
TR04_SRC108_HRC92,18,4.554
TR04_SRC108_HRC92,19,4.554
TR04_SRC108_HRC92,2,4.554
TR04_SRC108_HRC92,20,4.554
TR04_SRC108_HRC92,21,4.554
TR04_SRC108_HRC92,22,4.554
TR04_SRC108_HRC92,23,4.554
TR04_SRC108_HRC92,24,4.554
TR04_SRC108_HRC92,25,4.554
TR04_SRC108_HRC92,26,4.554
TR04_SRC108_HRC92,27,4.554
TR04_SRC108_HRC92,28,4.554
TR04_SRC108_HRC92,29,4.554
TR04_SRC108_HRC92,3,4.554
TR04_SRC108_HRC92,30,4.554
TR04_SRC108_HRC92,31,4.554
TR04_SRC108_HRC92,32,4.554
TR04_SRC108_HRC92,33,4.554
TR04_SRC108_HRC92,34,4.554
TR04_SRC108_HRC92,35,4.554
TR04_SRC108_HRC92,36,4.554
TR04_SRC108_HRC92,37,4.554
TR04_SRC108_HRC92,38,4.554
TR04_SRC108_HRC92,39,4.554
TR04_SRC108_HRC92,4,4.554
TR04_SRC108_HRC92,40,4.554
TR04_SRC108_HRC92,41,4.554
TR04_SRC108_HRC92,42,4.554
TR04_SRC108_HRC92,43,4.554
TR04_SRC108_HRC92,44,4.554
TR04_SRC108_HRC92,45,4.554
TR04_SRC108_HRC92,46,4.554
TR04_SRC108_HRC92,47,4.554
TR04_SRC108_HRC92,48,4.554
TR04_SRC108_HRC92,49,4.554
TR04_SRC108_HRC92,5,4.554
TR04_SRC108_HRC92,50,4.554
TR04_SRC108_HRC92,51,4.554
TR04_SRC108_HRC92,52,4.554
TR04_SRC108_HRC92,53,4.554
TR04_SRC108_HRC92,54,4.554
TR04_SRC108_HRC92,55,4.554
TR04_SRC108_HRC92,56,4.554
TR04_SRC108_HRC92,57,4.554
TR04_SRC108_HRC92,58,4.554
TR04_SRC108_HRC92,59,4.554
TR04_SRC108_HRC92,6,4.554
TR04_SRC108_HRC92,7,4.554
TR04_SRC108_HRC92,8,4.554
TR04_SRC108_HRC92,9,4.554
TR04_SRC109_HRC01,0,4.559
TR04_SRC109_HRC01,1,4.559
TR04_SRC109_HRC01,10,4.559
TR04_SRC109_HRC01,11,4.559
TR04_SRC109_HRC01,12,4.559
TR04_SRC109_HRC01,13,4.559
TR04_SRC109_HRC01,14,4.559
TR04_SRC109_HRC01,15,4.559
TR04_SRC109_HRC01,16,4.559
TR04_SRC109_HRC01,17,4.559
TR04_SRC109_HRC01,18,4.559
TR04_SRC109_HRC01,19,4.559
TR04_SRC109_HRC01,2,4.559
TR04_SRC109_HRC01,20,4.559
TR04_SRC109_HRC01,21,4.559
TR04_SRC109_HRC01,22,4.559
TR04_SRC109_HRC01,23,4.559
TR04_SRC109_HRC01,24,4.559
TR04_SRC109_HRC01,25,4.559
TR04_SRC109_HRC01,26,4.559
TR04_SRC109_HRC01,27,4.559
TR04_SRC109_HRC01,28,4.559
TR04_SRC109_HRC01,29,4.559
TR04_SRC109_HRC01,3,4.559
TR04_SRC109_HRC01,30,4.559
TR04_SRC109_HRC01,31,4.559
TR04_SRC109_HRC01,32,4.559
TR04_SRC109_HRC01,33,4.559
TR04_SRC109_HRC01,34,4.559
TR04_SRC109_HRC01,35,4.559
TR04_SRC109_HRC01,36,4.559
TR04_SRC109_HRC01,37,4.559
TR04_SRC109_HRC01,38,4.559
TR04_SRC109_HRC01,39,4.559
TR04_SRC109_HRC01,4,4.559
TR04_SRC109_HRC01,40,4.559
TR04_SRC109_HRC01,41,4.559
TR04_SRC109_HRC01,42,4.559
TR04_SRC109_HRC01,43,4.559
TR04_SRC109_HRC01,44,4.559
TR04_SRC109_HRC01,45,4.559
TR04_SRC109_HRC01,46,4.559
TR04_SRC109_HRC01,47,4.559
TR04_SRC109_HRC01,48,4.559
TR04_SRC109_HRC01,49,4.559
TR04_SRC109_HRC01,5,4.559
TR04_SRC109_HRC01,50,4.559
TR04_SRC109_HRC01,51,4.559
TR04_SRC109_HRC01,52,4.559
TR04_SRC109_HRC01,53,4.559
TR04_SRC109_HRC01,54,4.559
TR04_SRC109_HRC01,55,4.559
TR04_SRC109_HRC01,56,4.559
TR04_SRC109_HRC01,57,4.559
TR04_SRC109_HRC01,58,4.559
TR04_SRC109_HRC01,59,4.559
TR04_SRC109_HRC01,6,4.559
TR04_SRC109_HRC01,7,4.559
